Date,Adj Close
2019-08-15,179.3000030517578
2019-08-16,182.89999389648438
2019-08-19,183.5
2019-08-20,180.0
2019-08-21,182.0
2019-08-22,181.3000030517578
2019-08-23,177.6999969482422
2019-08-26,185.39999389648438
2019-08-27,186.1999969482422
2019-08-28,188.1999969482422
2019-08-29,193.6999969482422
2019-08-30,187.89999389648438
2019-09-03,180.10000610351562
2019-09-04,180.5
2019-09-05,185.0
2019-09-06,190.5
2019-09-09,191.10000610351562
2019-09-10,195.3000030517578
2019-09-11,208.1999969482422
2019-09-12,203.1999969482422
2019-09-13,204.8000030517578
2019-09-16,194.89999389648438
2019-09-17,213.1999969482422
2019-09-18,213.5
2019-09-19,212.8000030517578
2019-09-20,213.89999389648438
2019-09-23,214.60000610351562
2019-09-24,211.8000030517578
2019-09-25,211.1999969482422
2019-09-26,206.39999389648438
2019-09-27,189.1999969482422
2019-09-30,185.6999969482422
2019-10-01,175.6999969482422
2019-10-02,160.1999969482422
2019-10-03,172.89999389648438
2019-10-04,176.6999969482422
2019-10-07,180.89999389648438
2019-10-08,180.10000610351562
2019-10-09,180.89999389648438
2019-10-10,181.3000030517578
2019-10-11,180.0
2019-10-14,179.10000610351562
2019-10-15,180.10000610351562
2019-10-16,171.89999389648438
2019-10-17,175.3000030517578
2019-10-18,174.89999389648438
2019-10-21,168.10000610351562
2019-10-22,176.0
2019-10-23,178.1999969482422
2019-10-24,178.1999969482422
2019-10-25,174.1999969482422
2019-10-28,166.0
2019-10-29,162.10000610351562
2019-10-30,154.8000030517578
2019-10-31,154.0
2019-11-01,158.5
2019-11-04,159.6999969482422
2019-11-05,162.6999969482422
2019-11-06,158.39999389648438
2019-11-07,155.89999389648438
2019-11-08,153.89999389648438
2019-11-11,149.60000610351562
2019-11-12,153.60000610351562
2019-11-13,159.5
2019-11-14,157.39999389648438
2019-11-15,160.6999969482422
2019-11-18,162.10000610351562
2019-11-19,166.10000610351562
2019-11-20,163.6999969482422
2019-11-21,161.89999389648438
2019-11-22,159.0
2019-11-25,158.10000610351562
2019-11-26,156.10000610351562
2019-11-27,154.60000610351562
2019-11-29,149.39999389648438
2019-12-02,146.0
2019-12-03,146.3000030517578
2019-12-04,148.39999389648438
2019-12-05,155.1999969482422
2019-12-06,158.8000030517578
2019-12-09,157.0
2019-12-10,158.3000030517578
2019-12-11,158.8000030517578
2019-12-12,161.60000610351562
2019-12-13,164.39999389648438
2019-12-16,166.8000030517578
2019-12-17,167.3000030517578
2019-12-18,168.89999389648438
2019-12-19,163.3000030517578
2019-12-20,170.5
2019-12-23,173.5
2019-12-24,177.39999389648438
2019-12-26,172.39999389648438
2019-12-27,169.8000030517578
2019-12-30,166.8000030517578
2019-12-31,169.0
2020-01-02,170.1999969482422
2020-01-03,170.3000030517578
2020-01-06,175.5
2020-01-07,178.5
2020-01-08,179.10000610351562
2020-01-09,182.39999389648438
2020-01-10,183.5
2020-01-13,178.60000610351562
2020-01-14,181.1999969482422
2020-01-15,187.39999389648438
2020-01-16,180.1999969482422
2020-01-17,173.0
2020-01-21,170.1999969482422
2020-01-22,168.6999969482422
2020-01-23,166.8000030517578
2020-01-24,164.10000610351562
2020-01-27,163.60000610351562
2020-01-28,165.0
2020-01-29,163.5
2020-01-30,166.6999969482422
2020-01-31,168.0
2020-02-03,171.10000610351562
2020-02-04,175.5
2020-02-05,171.5
2020-02-06,170.10000610351562
2020-02-07,165.3000030517578
2020-02-10,166.3000030517578
2020-02-11,166.60000610351562
2020-02-12,167.0
2020-02-13,165.89999389648438
2020-02-14,165.10000610351562
2020-02-18,161.3000030517578
2020-02-19,163.8000030517578
2020-02-20,161.10000610351562
2020-02-21,161.3000030517578
2020-02-24,153.89999389648438
2020-02-25,146.5
2020-02-26,143.1999969482422
2020-02-27,135.1999969482422
2020-02-28,128.10000610351562
2020-03-02,131.39999389648438
2020-03-03,126.19999694824219
2020-03-04,132.60000610351562
2020-03-05,126.0999984741211
2020-03-06,123.4000015258789
2020-03-09,112.69999694824219
2020-03-10,108.5999984741211
2020-03-11,106.0999984741211
2020-03-12,94.0
2020-03-13,95.9000015258789
2020-03-16,84.0999984741211
2020-03-17,87.69999694824219
2020-03-18,70.69999694824219
2020-03-19,64.69999694824219
2020-03-20,46.20000076293945
2020-03-23,59.29999923706055
2020-03-24,72.69999694824219
2020-03-25,75.19999694824219
2020-03-26,81.0
2020-03-27,80.0
2020-03-30,86.9000015258789
2020-03-31,83.30000305175781
2020-04-01,77.30000305175781
2020-04-02,75.5999984741211
2020-04-03,74.9000015258789
2020-04-06,82.5
2020-04-07,79.0999984741211
2020-04-08,86.80000305175781
2020-04-09,92.5
2020-04-13,90.0999984741211
2020-04-14,99.0
2020-04-15,83.5999984741211
2020-04-16,90.19999694824219
2020-04-17,93.9000015258789
2020-04-20,94.0999984741211
2020-04-21,90.0999984741211
2020-04-22,96.69999694824219
2020-04-23,100.0999984741211
2020-04-24,102.80000305175781
2020-04-27,109.69999694824219
2020-04-28,110.4000015258789
2020-04-29,114.0999984741211
2020-04-30,109.0999984741211
2020-05-01,103.19999694824219
2020-05-04,107.30000305175781
2020-05-05,101.0
2020-05-06,100.19999694824219
2020-05-07,99.5999984741211
2020-05-08,105.0999984741211
2020-05-11,99.5
2020-05-12,98.5
2020-05-13,96.0999984741211
2020-05-14,94.0999984741211
2020-05-15,88.19999694824219
2020-05-18,85.69999694824219
2020-05-19,82.5
2020-05-20,84.0999984741211
2020-05-21,82.69999694824219
2020-05-22,84.30000305175781
2020-05-26,85.30000305175781
2020-05-27,87.5999984741211
2020-05-28,84.0
2020-05-29,83.5
2020-06-01,84.9000015258789
2020-06-02,82.5
2020-06-03,82.0999984741211
2020-06-04,85.30000305175781
2020-06-05,91.9000015258789
2020-06-08,96.9000015258789
2020-06-09,98.30000305175781
2020-06-10,97.69999694824219
2020-06-11,91.69999694824219
2020-06-12,93.5999984741211
2020-06-15,101.0
2020-06-16,112.9000015258789
2020-06-17,117.5
2020-06-18,127.19999694824219
2020-06-19,119.5999984741211
2020-06-22,119.80000305175781
2020-06-23,118.69999694824219
2020-06-24,117.80000305175781
2020-06-25,128.89999389648438
2020-06-26,142.1999969482422
2020-06-29,144.5
2020-06-30,151.60000610351562
2020-07-01,171.1999969482422
2020-07-02,158.60000610351562
2020-07-06,160.3000030517578
2020-07-07,154.10000610351562
2020-07-08,174.1999969482422
2020-07-09,165.89999389648438
2020-07-10,166.60000610351562
2020-07-13,162.6999969482422
2020-07-14,175.0
2020-07-15,177.10000610351562
2020-07-16,180.39999389648438
2020-07-17,170.10000610351562
2020-07-20,172.10000610351562
2020-07-21,170.6999969482422
2020-07-22,170.10000610351562
2020-07-23,165.60000610351562
2020-07-24,156.0
2020-07-27,150.60000610351562
2020-07-28,139.60000610351562
2020-07-29,149.8000030517578
2020-07-30,149.8000030517578
2020-07-31,145.3000030517578
2020-08-03,150.5
2020-08-04,151.8000030517578
2020-08-05,156.0
2020-08-06,147.0
2020-08-07,155.0
2020-08-10,161.1999969482422
2020-08-11,148.39999389648438
2020-08-12,146.8000030517578
2020-08-13,148.6999969482422
2020-08-14,145.10000610351562
2020-08-17,147.0
2020-08-18,148.39999389648438
2020-08-19,144.6999969482422
2020-08-20,144.60000610351562
2020-08-21,135.39999389648438
2020-08-24,131.0
2020-08-25,133.39999389648438
2020-08-26,130.3000030517578
2020-08-27,122.69999694824219
2020-08-28,120.5999984741211
2020-08-31,121.80000305175781
2020-09-01,121.4000015258789
2020-09-02,123.5
2020-09-03,117.0999984741211
2020-09-04,109.80000305175781
2020-09-08,103.69999694824219
2020-09-09,99.80000305175781
2020-09-10,104.4000015258789
2020-09-11,104.4000015258789
2020-09-14,109.80000305175781
2020-09-15,107.69999694824219
2020-09-16,111.0
2020-09-17,110.4000015258789
2020-09-18,112.19999694824219
2020-09-21,112.4000015258789
2020-09-22,111.5
2020-09-23,107.0
2020-09-24,104.0
2020-09-25,115.0
2020-09-28,109.0999984741211
2020-09-29,108.0999984741211
2020-09-30,106.5999984741211
2020-10-01,104.5
2020-10-02,106.80000305175781
2020-10-05,106.9000015258789
2020-10-06,107.9000015258789
2020-10-07,111.9000015258789
2020-10-08,110.5999984741211
2020-10-09,110.5999984741211
2020-10-12,113.4000015258789
2020-10-13,114.9000015258789
2020-10-14,114.30000305175781
2020-10-15,117.0
2020-10-16,116.19999694824219
2020-10-19,116.4000015258789
2020-10-20,111.0999984741211
2020-10-21,98.80000305175781
2020-10-22,102.30000305175781
2020-10-23,100.30000305175781
2020-10-26,99.80000305175781
2020-10-27,99.5
2020-10-28,96.5999984741211
2020-10-29,94.80000305175781
2020-10-30,94.19999694824219
2020-11-02,94.19999694824219
2020-11-03,97.0999984741211
2020-11-04,98.19999694824219
2020-11-05,98.5999984741211
2020-11-06,94.5
2020-11-09,88.5999984741211
2020-11-10,87.5999984741211
2020-11-11,83.0999984741211
2020-11-12,83.69999694824219
2020-11-13,85.9000015258789
2020-11-16,87.0999984741211
2020-11-17,88.4000015258789
2020-11-18,84.19999694824219
2020-11-19,84.19999694824219
